os partidos estão mais cautelosos	cautelosos	precavidos	calmos	conservadores	vigilantes	sensíveis	prudentes	reservados	tranquilos	preocupados	calculados
uma arena suspensa com estacionamento subterrâneo e capacidade entre 45 e 50 mil espectadores	espectadores	pessoas	convidados	moradores	frequentadores	visitantes	presentes	fãs	participantes	lugares	passageiros
apesar das boas intenções a organização das nações unidas para a educação a ciência e a cultura unesco tratou de se desvincular da escolha	desvincular	afastar	separar	excluir	aferir	retirar	desligar	apartar	desmarcar	distanciar	diminuir
a musculação do dólar e a expectativa de maior preço dos grãos representam âncoras para enfrentar águas turbulentas	turbulentas	agitadas	tumultuadas	quentes	tumultuantes	difíceis	repentinas	violentas	movimentadas	tormentosas	tumultuosas
o animal deu alguns passos e começou a verter sangue pela boca	verter	beber	derramar	esvaziar	fluir	lançar	expulsar	correr	aspirar	dar	trazer
em março o comando de policiamento da capital cpc atingiu 40 do número previsto para fiscalização de veículos enquanto outros comandos regionais como metropolitano sul missões e vale do taquari superaram as metas estipuladas	fiscalização	inspeção	vigilância	controle	verificação	atenção	análise	bloqueio	monitoramento	acompanhamento	supervisão
duas situações foram detectadas pelo grupo	grupo	equipe	conjunto	coletivo	agrupamento	pessoas	grupos	família	associação	pessoa	indivíduo
o próprio carro de simões tem o aparelho	aparelho	aparelhos	equipamento	dispositivo	veículo	carro	equipamentos	ferramenta	peça	objeto	mecanismo
o nevoeiro não se restringiu à capital	restringiu	diminuiu	limitou	reduziu	estendeu	limiteu	fechou	enfraqueceu	afastou	conteve	bloqueou
outros cinco continuavam desaparecidos	desaparecidos	abandonados	desconhecidos	afastados	perdidos	ocultos	mortos	resgatados	aflito	extintos	inativos
as estratégias já começaram a envolver os altos escalões dos governos	escalões	níveis	nível	graus	estágios	elevados	degraus	cargos	grupos	instâncias	categorias
o zoneamento mostrará que procedimentos devem ser tomados em cada área explica	procedimentos	cuidados	maneiras	princípios	regras	passos	ações	normas	métodos	comportamentos	critérios
o pequeno príncipe original era melancólico com pontos de alegria	melancólico	triste	alegre	feliz	cansativo	divertido	calmo	tranquilo	sereno	angustiado	animado
e basta uma pequena assimetria entre eles para que o sistema automático se desarme e o avião volte para o modo manual	assimetria	diferença	desigualdade	simetria	variação	irregularidade	desvio	oscilação	desarmonia	divergência	diminuição
diante do fracasso de projetos como o da elétrica jacuí eleja envolvida no escândalo das usinas que redundou até em prisões as dúvidas sobre o potencial da geração térmica a carvão no estado persistem	persistem	continuam	permanecem	seguem	mantém	permaneceram	permanece	mantém-se	perseveram	ficam	conservam
mas sim o embrião de um movimento de perpetuação no poder que ameaça se alastrar pela américa latina	alastrar	espalhar	estender	ampliar	expandir	esvaziar	distribuir	aumentar	esmagar	deslocar	abrir
proprietária quer se desfazer dos bichos	proprietária	possuidora	donos	administrador	proprietário	herdeiro	dono	legítimo	Proprietário	chefe	patrocinador
o sistema é protegido por um segundo tubo cheio de lama que envolve a perfuratriz reduzindo atritos e removendo os detritos	detritos	resíduos	restos	pedaços	escombros	fragmentos	escombro	depósitos	residuos	ruínas	objetos
a devoção também encontra adeptos nos centros urbanos	adeptos	seguidores	apoiadores	admiradores	fãs	apoiantes	defensores	partidários	fiéis	frequentadores	filiados
foi um padre de casca que introduziu o rodízio da santinha para aumentar a fé e fazer com que nós conhecêssemos e freqüentássemos mais as casas dos outros lembra a agricultora que mora na localidade de montes cárpatos	rodízio	ritual	rito	rotatividade	uso	atividade	batida	movimento	hábito	prática	troca
aos poucos recupera a forma depois de mais de um mês e meio fora do futebol por causa de contusão muscular na coxa direita	contusão	lesão	dor	ruptura	acidente	dano	rompimento	luxação	quebra	problema	fracasso
isso porque a boeing utiliza um conceito que torna a operação de um avião mais simples e menos propícia a erros do piloto ou a mau funcionamento da aeronave	propícia	favorável	sujeita	propício	indicada	propicio	adequada	obrigada	aceitável	possível	exposta
