Team,Lang,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,MAP@3,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10
Cental,en,1,0.2143,0.0893,0.1429,0.1429,0.1022,0.0727,0.047,0.2857,0.3214,0.3214
Cental,en,2,0.4464,0.125,0.25,0.3393,0.3016,0.221,0.1385,0.6607,0.7143,0.7857
Cental,es,1,0.2679,0.1429,0.1786,0.2143,0.1865,0.1449,0.0851,0.5,0.5536,0.5714
Cental,es,2,0.1964,0.0536,0.125,0.1607,0.1488,0.1311,0.0883,0.4107,0.5536,0.6429
Cental,es,3,0.2321,0.0179,0.0536,0.125,0.1389,0.1121,0.0783,0.4643,0.6071,0.6607
Cental,pt,1,0.3036,0.1429,0.2321,0.25,0.1617,0.1156,0.068,0.5179,0.5714,0.6429
Cental,pt,2,0.3214,0.0714,0.125,0.1964,0.2153,0.1554,0.091,0.5714,0.6786,0.8214
Cental,pt,3,0.2857,0.0536,0.0714,0.1607,0.1925,0.1478,0.0898,0.5357,0.6786,0.8393
LSBERT,en,1,0.5893,0.2679,0.4821,0.5714,0.4385,0.3136,0.186,0.875,0.9107,0.9286
LSBERT,es,1,0.3036,0.0893,0.1429,0.1786,0.1994,0.1504,0.091,0.4643,0.625,0.75
LSBERT,pt,1,0.3036,0.1607,0.2321,0.3036,0.1895,0.1364,0.0816,0.5179,0.625,0.7321
TUNER,en,1,0.3929,0.1607,0.1607,0.1607,0.1865,0.1158,0.0579,0.4643,0.4643,0.4643
TUNER,es,1,0.1429,0.0714,0.1071,0.1071,0.0843,0.0506,0.0253,0.1964,0.1964,0.1964
TUNER,pt,1,0.2321,0.1429,0.1607,0.1607,0.1071,0.0688,0.0344,0.2857,0.2857,0.2857
