Team,Lang,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,MAP@3,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10
GMU-WLV,en,1,0.5179,0.2143,0.25,0.4107,0.37,0.2936,0.1716,0.7321,0.8393,0.9107
GMU-WLV,en,2,0.3036,0.1071,0.1786,0.3214,0.1954,0.1639,0.1255,0.6071,0.7679,0.9107
GMU-WLV,es,1,0.3929,0.1786,0.2679,0.3036,0.256,0.1945,0.1167,0.5714,0.6607,0.7321
GMU-WLV,es,2,0.1429,0.0536,0.125,0.2143,0.1369,0.123,0.0871,0.4643,0.6071,0.7321
GMU-WLV,pt,1,0.4464,0.2143,0.375,0.4107,0.2579,0.1926,0.1143,0.6429,0.7679,0.8571
GMU-WLV,pt,2,0.3036,0.1071,0.1786,0.25,0.1716,0.1485,0.0951,0.5893,0.75,0.8571
LSBERT,en,1,0.5893,0.2679,0.4821,0.5714,0.4385,0.3136,0.186,0.875,0.9107,0.9286
LSBERT,es,1,0.3036,0.0893,0.1429,0.1786,0.1994,0.1504,0.091,0.4643,0.625,0.75
LSBERT,pt,1,0.3036,0.1607,0.2321,0.3036,0.1895,0.1364,0.0816,0.5179,0.625,0.7321
TUNER,en,1,0.3929,0.1607,0.1607,0.1607,0.1865,0.1158,0.0579,0.4643,0.4643,0.4643
TUNER,es,1,0.1429,0.0714,0.1071,0.1071,0.0843,0.0506,0.0253,0.1964,0.1964,0.1964
TUNER,pt,1,0.2321,0.1429,0.1607,0.1607,0.1071,0.0688,0.0344,0.2857,0.2857,0.2857
