Team,Lang,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,MAP@3,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10
PolyU-CBS,en,1,0.3214,0.1607,0.2679,0.2857,0.2321,0.1712,0.1034,0.625,0.7321,0.8214
PolyU-CBS,en,2,0.25,0.1071,0.1429,0.1964,0.1637,0.1355,0.0798,0.5,0.625,0.7679
PolyU-CBS,en,3,0.3571,0.1607,0.2321,0.3036,0.2579,0.1887,0.1118,0.625,0.75,0.8214
PolyU-CBS,es,1,0.25,0.1071,0.1786,0.1964,0.1796,0.1388,0.0786,0.4643,0.5893,0.6429
PolyU-CBS,es,2,0.2143,0.0893,0.1429,0.1429,0.1538,0.1148,0.0653,0.4107,0.5,0.625
PolyU-CBS,es,3,0.4107,0.2143,0.2143,0.2143,0.2153,0.1479,0.0918,0.5,0.5536,0.5893
PolyU-CBS,pt,1,0.2143,0.0536,0.0893,0.125,0.1438,0.1042,0.0642,0.375,0.4643,0.5536
PolyU-CBS,pt,2,0.1964,0.0893,0.0893,0.1429,0.0992,0.0767,0.0481,0.3214,0.375,0.4821
PolyU-CBS,pt,3,0.3571,0.1071,0.1429,0.1607,0.1905,0.1455,0.0847,0.4643,0.5536,0.6071
LSBERT,en,1,0.5893,0.2679,0.4821,0.5714,0.4385,0.3136,0.186,0.875,0.9107,0.9286
LSBERT,es,1,0.3036,0.0893,0.1429,0.1786,0.1994,0.1504,0.091,0.4643,0.625,0.75
LSBERT,pt,1,0.3036,0.1607,0.2321,0.3036,0.1895,0.1364,0.0816,0.5179,0.625,0.7321
TUNER,en,1,0.3929,0.1607,0.1607,0.1607,0.1865,0.1158,0.0579,0.4643,0.4643,0.4643
TUNER,es,1,0.1429,0.0714,0.1071,0.1071,0.0843,0.0506,0.0253,0.1964,0.1964,0.1964
TUNER,pt,1,0.2321,0.1429,0.1607,0.1607,0.1071,0.0688,0.0344,0.2857,0.2857,0.2857
