Team,Lang,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,MAP@3,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10
PresiUniv,en,1,0.4643,0.1786,0.2857,0.3214,0.3075,0.2417,0.1396,0.6607,0.75,0.7857
PresiUniv,en,2,0.2679,0.0893,0.1071,0.125,0.123,0.0786,0.0393,0.2679,0.2679,0.2679
PresiUniv,en,3,0.4464,0.1607,0.25,0.2679,0.2758,0.1983,0.1068,0.5893,0.6429,0.6429
PresiUniv,es,1,0.3214,0.1964,0.3214,0.3929,0.2361,0.1574,0.086,0.6429,0.6786,0.7679
PresiUniv,es,2,0.2321,0.1607,0.1786,0.1964,0.1181,0.0726,0.0363,0.3393,0.3393,0.3393
PresiUniv,es,3,0.3214,0.1964,0.2679,0.3214,0.2133,0.1401,0.0752,0.5714,0.6071,0.6429
PresiUniv,pt,1,0.2321,0.1071,0.1786,0.1964,0.1409,0.0952,0.0532,0.375,0.4643,0.5179
PresiUniv,pt,2,0.1964,0.1071,0.1607,0.1786,0.1171,0.0792,0.0442,0.3393,0.3929,0.4464
PresiUniv,pt,3,0.2321,0.1071,0.1786,0.1964,0.1349,0.0917,0.0508,0.375,0.4643,0.5179
LSBERT,en,1,0.5893,0.2679,0.4821,0.5714,0.4385,0.3136,0.186,0.875,0.9107,0.9286
LSBERT,es,1,0.3036,0.0893,0.1429,0.1786,0.1994,0.1504,0.091,0.4643,0.625,0.75
LSBERT,pt,1,0.3036,0.1607,0.2321,0.3036,0.1895,0.1364,0.0816,0.5179,0.625,0.7321
TUNER,en,1,0.3929,0.1607,0.1607,0.1607,0.1865,0.1158,0.0579,0.4643,0.4643,0.4643
TUNER,es,1,0.1429,0.0714,0.1071,0.1071,0.0843,0.0506,0.0253,0.1964,0.1964,0.1964
TUNER,pt,1,0.2321,0.1429,0.1607,0.1607,0.1071,0.0688,0.0344,0.2857,0.2857,0.2857
