,Team,Lang,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,MAP@3,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10
50,UniHD,en,1,0.875,0.5536,0.6429,0.6786,0.5913,0.4055,0.2284,1,1,1
1,LSBERT,es,1,0.3036,0.0893,0.1429,0.1786,0.1994,0.1504,0.091,0.4643,0.625,0.75
2,LSBERT,pt,1,0.3036,0.1607,0.2321,0.3036,0.1895,0.1364,0.0816,0.5179,0.625,0.7321
61,mTLS,en,tsar-en-TLS-2,0.875,0.5536,0.6964,0.6964,0.6379,0.5126,0.3069,0.9643,0.9643,1
4,TUNER,es,1,0.1429,0.0714,0.1071,0.1071,0.0843,0.0506,0.0253,0.1964,0.1964,0.1964
5,TUNER,pt,1,0.2321,0.1429,0.1607,0.1607,0.1071,0.0688,0.0344,0.2857,0.2857,0.2857
62,mTLS,en,tsar-en-TLS-3,0.8393,0.5536,0.6786,0.75,0.5933,0.4506,0.2842,0.9643,0.9821,0.9821
51,UniHD,en,2,0.875,0.4821,0.7143,0.7679,0.6498,0.509,0.3054,0.9821,0.9821,1
24,GPT,en,1,0.8214,0.4821,0.625,0.6786,0.5764,0.428,0.2493,0.9464,0.9464,0.9643
52,UoM&MMU,en,1,0.6964,0.4107,0.5536,0.5714,0.4315,0.3234,0.202,0.8393,0.8571,0.8929
63,mTLS,en,tsar-en-mTLS,0.6607,0.3929,0.5,0.6071,0.4871,0.3651,0.2173,0.8571,0.9286,0.9643
54,UoM&MMU,en,3,0.5714,0.3393,0.375,0.4464,0.3383,0.2473,0.1469,0.6964,0.7679,0.875
12,Cental,es,1,0.2679,0.1429,0.1786,0.2143,0.1865,0.1449,0.0851,0.5,0.5536,0.5714
13,Cental,es,2,0.1964,0.0536,0.125,0.1607,0.1488,0.1311,0.0883,0.4107,0.5536,0.6429
14,Cental,es,3,0.2321,0.0179,0.0536,0.125,0.1389,0.1121,0.0783,0.4643,0.6071,0.6607
15,Cental,pt,1,0.3036,0.1429,0.2321,0.25,0.1617,0.1156,0.068,0.5179,0.5714,0.6429
16,Cental,pt,2,0.3214,0.0714,0.125,0.1964,0.2153,0.1554,0.091,0.5714,0.6786,0.8214
17,Cental,pt,3,0.2857,0.0536,0.0714,0.1607,0.1925,0.1478,0.0898,0.5357,0.6786,0.8393
25,MANTIS,en,1,0.5714,0.3036,0.4643,0.5179,0.4613,0.3463,0.2097,0.8393,0.9107,0.9464
0,LSBERT,en,1,0.5893,0.2679,0.4821,0.5714,0.4385,0.3136,0.186,0.875,0.9107,0.9286
20,GMU-WLV,es,1,0.3929,0.1786,0.2679,0.3036,0.256,0.1945,0.1167,0.5714,0.6607,0.7321
21,GMU-WLV,es,2,0.1429,0.0536,0.125,0.2143,0.1369,0.123,0.0871,0.4643,0.6071,0.7321
22,GMU-WLV,pt,1,0.4464,0.2143,0.375,0.4107,0.2579,0.1926,0.1143,0.6429,0.7679,0.8571
23,GMU-WLV,pt,2,0.3036,0.1071,0.1786,0.25,0.1716,0.1485,0.0951,0.5893,0.75,0.8571
26,MANTIS,en,2,0.4643,0.25,0.3571,0.4107,0.2808,0.2099,0.1398,0.625,0.7679,0.9107
48,RCML,en,1,0.6071,0.2321,0.4107,0.4821,0.3978,0.3032,0.1959,0.8214,0.9286,0.9464
49,RCML,en,2,0.5893,0.2321,0.4464,0.5,0.4028,0.3095,0.2058,0.8571,0.9286,0.9643
18,GMU-WLV,en,1,0.5179,0.2143,0.25,0.4107,0.37,0.2936,0.1716,0.7321,0.8393,0.9107
67,teamPN,en,2,0.4821,0.1964,0.3571,0.375,0.3065,0.232,0.116,0.6786,0.8036,0.8036
29,OEG_UPM,es,1,0.0893,0.0357,0.0714,0.0893,0.0704,0.0594,0.0441,0.2679,0.375,0.5357
27,MANTIS,en,3,0.4107,0.1964,0.3393,0.4286,0.2877,0.2389,0.1557,0.7679,0.875,0.9107
39,PresiUniv,en,1,0.4643,0.1786,0.2857,0.3214,0.3075,0.2417,0.1396,0.6607,0.75,0.7857
66,teamPN,en,1,0.4643,0.1786,0.3571,0.3929,0.2966,0.219,0.1095,0.6964,0.8036,0.8036
33,PolyU-CBS,es,1,0.25,0.1071,0.1786,0.1964,0.1796,0.1388,0.0786,0.4643,0.5893,0.6429
34,PolyU-CBS,es,2,0.2143,0.0893,0.1429,0.1429,0.1538,0.1148,0.0653,0.4107,0.5,0.625
35,PolyU-CBS,es,3,0.4107,0.2143,0.2143,0.2143,0.2153,0.1479,0.0918,0.5,0.5536,0.5893
36,PolyU-CBS,pt,1,0.2143,0.0536,0.0893,0.125,0.1438,0.1042,0.0642,0.375,0.4643,0.5536
