Team,Lang,Run,ACC@1,ACC@1@Top1,ACC@2@Top1,ACC@3@Top1,MAP@3,MAP@5,MAP@10,Potential@3,Potential@5,Potential@10
mTLS,en,tsar-en-TLS-2,0.875,0.5536,0.6964,0.6964,0.6379,0.5126,0.3069,0.9643,0.9643,1.0
mTLS,en,tsar-en-TLS-3,0.8393,0.5536,0.6786,0.75,0.5933,0.4506,0.2842,0.9643,0.9821,0.9821
mTLS,en,tsar-en-mTLS,0.6607,0.3929,0.5,0.6071,0.4871,0.3651,0.2173,0.8571,0.9286,0.9643
mTLS,es,tsar-es-mTLS,0.5357,0.2857,0.3929,0.4821,0.379,0.2852,0.1685,0.75,0.8036,0.9107
mTLS,pt,tsar-pt-mTLS,0.6607,0.4464,0.5536,0.5714,0.4216,0.294,0.1842,0.8214,0.9107,0.9464
LSBERT,en,1,0.5893,0.2679,0.4821,0.5714,0.4385,0.3136,0.186,0.875,0.9107,0.9286
LSBERT,es,1,0.3036,0.0893,0.1429,0.1786,0.1994,0.1504,0.091,0.4643,0.625,0.75
LSBERT,pt,1,0.3036,0.1607,0.2321,0.3036,0.1895,0.1364,0.0816,0.5179,0.625,0.7321
TUNER,en,1,0.3929,0.1607,0.1607,0.1607,0.1865,0.1158,0.0579,0.4643,0.4643,0.4643
TUNER,es,1,0.1429,0.0714,0.1071,0.1071,0.0843,0.0506,0.0253,0.1964,0.1964,0.1964
TUNER,pt,1,0.2321,0.1429,0.1607,0.1607,0.1071,0.0688,0.0344,0.2857,0.2857,0.2857
